user_id,signup_month,transaction_month,month_offset,net_revenue
28887,2019-09-01,2020-12-01,15,195.97999954223633
30662,2020-06-01,2020-09-01,3,67.94000244140625
31131,2022-01-01,2022-03-01,2,180.93000030517578
31426,2019-01-01,2020-02-01,13,39.9900016784668
49595,2021-05-01,2022-02-01,9,39.9900016784668
53189,2019-05-01,2021-07-01,26,77.4900016784668
58782,2021-05-01,2021-12-01,7,64.9900016784668
59330,2019-09-01,2021-09-01,24,39.9900016784668
70714,2020-06-01,2022-04-01,22,127.06999969482422
84645,2021-08-01,2022-02-01,6,39.9900016784668
89075,2020-09-01,2021-01-01,4,326.439998626709
91617,2019-05-01,2022-03-01,34,39.9900016784668
96419,2019-12-01,2022-04-01,28,39.9900016784668
97810,2020-04-01,2021-08-01,16,39.9900016784668
98852,2020-03-01,2020-06-01,3,89.9800033569336
12318,2022-04-01,2022-05-01,1,49.940001487731934
1907,2020-05-01,2020-07-01,2,41.9900016784668
30014,2019-09-01,2020-10-01,13,63.9900016784668
79499,2019-09-01,2021-07-01,22,131.46000289916992
88152,2021-12-01,2021-12-01,0,155.7500057220459
93319,2020-03-01,2020-05-01,2,41.9900016784668
9934,2020-01-01,2021-01-01,12,41.9900016784668
29322,2020-05-01,2022-03-01,22,41.9900016784668
20260,2021-12-01,2022-04-01,4,305.9700012207031
43146,2021-06-01,2022-02-01,8,145.9900016784668
75507,2021-04-01,2022-01-01,9,247.85000228881836
3352,2021-02-01,2022-02-01,12,147.18999862670898
21996,2021-06-01,2021-06-01,0,127.98000144958496
75173,2019-04-01,2021-07-01,27,56.73000144958496
78070,2019-01-01,2020-12-01,23,45.9900016784668
94653,2021-07-01,2021-07-01,0,148.9199981689453
50554,2021-08-01,2022-01-01,5,121.79999923706055
16409,2020-12-01,2021-01-01,1,71.98000144958496
95121,2021-09-01,2022-03-01,6,55.9900016784668
57021,2021-08-01,2022-02-01,6,47.9900016784668
71478,2020-12-01,2021-02-01,2,129.4800033569336
56567,2019-03-01,2019-03-01,0,77.98000144958496
6707,2021-12-01,2022-01-01,1,105.9900016784668
8745,2019-06-01,2021-08-01,26,49.9900016784668
9054,2022-03-01,2022-04-01,1,49.9900016784668
9672,2019-08-01,2019-09-01,1,49.9900016784668
19290,2021-12-01,2022-02-01,2,139.4800033569336
25562,2021-01-01,2021-07-01,6,49.9900016784668
31985,2021-07-01,2021-11-01,4,390.94000244140625
51896,2020-02-01,2021-06-01,16,155.37000274658203
52840,2019-10-01,2021-08-01,22,170.43000411987305
58802,2019-07-01,2020-11-01,16,49.9900016784668
60445,2022-04-01,2022-05-01,1,384.9900016784668
60464,2020-09-01,2021-07-01,10,49.9900016784668
61871,2021-01-01,2021-06-01,5,49.9900016784668
68138,2021-11-01,2022-03-01,4,254.63999557495117
68463,2021-06-01,2022-01-01,7,49.9900016784668
70651,2021-07-01,2022-02-01,7,200.48000144958496
78239,2020-12-01,2020-12-01,0,287.6800003051758
81997,2019-08-01,2020-08-01,12,402.9000053405762
97002,2021-06-01,2021-09-01,3,799.9900016784668
99644,2022-02-01,2022-04-01,2,49.9900016784668
2786,2019-10-01,2021-03-01,17,49.9900016784668
9317,2021-05-01,2021-11-01,6,49.9900016784668
9570,2020-03-01,2021-01-01,10,245.98000144958496
11699,2022-05-01,2022-05-01,0,49.9900016784668
21089,2020-09-01,2021-04-01,7,149.48000144958496
31481,2022-06-01,2022-06-01,0,325.04999923706055
33224,2022-04-01,2022-04-01,0,49.9900016784668
35694,2020-02-01,2022-03-01,25,365.4900016784668
47394,2020-10-01,2021-09-01,11,89.9800033569336
51144,2021-01-01,2021-11-01,10,84.9800033569336
54657,2019-03-01,2021-06-01,27,109.97000122070312
66645,2021-11-01,2022-05-01,6,49.9900016784668
25960,2021-09-01,2021-10-01,1,49.9900016784668
29449,2019-11-01,2020-06-01,7,129.87000274658203
34360,2019-04-01,2022-03-01,35,49.9900016784668
37976,2021-06-01,2021-12-01,6,49.9900016784668
66445,2020-04-01,2021-12-01,20,89.60000228881836
72654,2021-10-01,2021-11-01,1,274.86000061035156
87609,2019-08-01,2021-06-01,22,49.9900016784668
14892,2020-05-01,2020-06-01,1,51.9900016784668
84683,2020-12-01,2021-01-01,1,76.8700008392334
96542,2020-08-01,2021-07-01,11,211.98000717163086
33238,2019-04-01,2021-02-01,22,163.97999954223633
48690,2020-03-01,2022-03-01,24,66.9300012588501
86920,2020-11-01,2021-07-01,8,106.9900016784668
34866,2021-12-01,2022-06-01,6,82.98000144958496
79015,2020-11-01,2021-03-01,4,71.98000144958496
42531,2019-10-01,2021-04-01,18,153.9900016784668
45658,2022-02-01,2022-02-01,0,283.9600028991699
536,2019-09-01,2020-08-01,11,59.9900016784668
2960,2021-02-01,2021-02-01,0,59.9900016784668
5979,2019-05-01,2020-04-01,11,59.9900016784668
20344,2021-07-01,2021-08-01,1,59.9900016784668
22705,2021-11-01,2022-05-01,6,59.9900016784668
38548,2019-08-01,2021-10-01,26,109.93000030517578
43360,2020-06-01,2021-11-01,17,59.9900016784668
47878,2019-12-01,2019-12-01,0,97.9900016784668
49063,2021-09-01,2022-01-01,4,437.9900016784668
50944,2021-08-01,2021-11-01,3,99.9800033569336
60322,2019-07-01,2021-06-01,23,260.2899992465973
62481,2019-07-01,2019-09-01,2,59.9900016784668
65194,2020-10-01,2022-05-01,19,84.4900016784668
66193,2020-01-01,2020-07-01,6,59.9900016784668
75026,2020-11-01,2021-08-01,9,59.9900016784668
84123,2020-04-01,2021-08-01,16,292.20000076293945
85112,2021-04-01,2022-03-01,11,59.9900016784668
86427,2020-04-01,2022-04-01,24,134.94000244140625
88525,2022-06-01,2022-06-01,0,181.350004196167
90909,2019-11-01,2021-06-01,19,59.9900016784668
92427,2019-09-01,2021-09-01,24,59.9900016784668
14178,2020-02-01,2022-01-01,23,59.9900016784668
37463,2020-09-01,2020-12-01,3,114.94000244140625
42178,2020-05-01,2021-06-01,13,162.7300033569336
71333,2021-11-01,2022-05-01,6,216.9500026702881
82868,2021-04-01,2021-06-01,2,59.9900016784668
97845,2019-01-01,2019-06-01,5,139.97999954223633
9275,2021-02-01,2021-04-01,2,59.9900016784668
28395,2021-04-01,2021-07-01,3,160.84000301361084
46437,2021-06-01,2021-11-01,5,189.9900016784668
48190,2021-12-01,2022-05-01,5,138.9500026702881
61694,2021-12-01,2022-02-01,2,288.17000102996826
84037,2022-03-01,2022-03-01,0,59.9900016784668
98073,2020-04-01,2022-03-01,23,61.9900016784668
7968,2019-04-01,2021-06-01,26,63.9900016784668
28568,2021-10-01,2021-10-01,0,317.8300094604492
39867,2021-05-01,2021-06-01,1,99.9800033569336
4533,2019-07-01,2021-06-01,23,143.9600067138672
31543,2021-09-01,2022-02-01,5,56.10000038146973
95495,2022-06-01,2022-06-01,0,283.0599994659424
11651,2019-12-01,2021-12-01,24,131.53000259399414
44780,2020-02-01,2020-05-01,3,80.22000122070312
84645,2021-08-01,2022-03-01,7,138.54000091552734
22669,2020-07-01,2020-07-01,0,57.47999954223633
70411,2020-07-01,2021-01-01,6,17.18000030517578
9858,2020-12-01,2021-02-01,2,23.18000030517578
26719,2022-06-01,2022-06-01,0,23.18000030517578
44531,2019-07-01,2022-02-01,31,62.36000061035156
76208,2020-01-01,2021-04-01,15,151.36000061035156
19782,2020-08-01,2022-03-01,19,68.97000122070312
87463,2020-04-01,2021-09-01,17,234.0800018310547
37490,2019-05-01,2019-07-01,2,38.61000061035156
65296,2019-08-01,2022-05-01,33,111.46000099182129
68304,2022-04-01,2022-04-01,0,20.43000030517578
89695,2020-01-01,2022-06-01,29,20.43000030517578
90262,2019-04-01,2019-07-01,3,69.8499984741211
