signup_month,0,1,2,3,4,5,6,7,8,9,10,11,12
2019-01-01,95.58086979907492,324.19130540930706,546.537827761277,717.5278281750886,874.7260893946109,1085.5304375109465,1317.405655943829,1549.8765261069589,1737.1100046323693,1923.7752216380575,2174.310005125792,2380.242613668027,2590.7300050569615
2019-02-01,51.886250038941704,235.55583316087723,450.6283334692319,613.4612504839897,813.4833344817162,990.5612514019012,1101.1187514464061,1284.5366692940395,1452.0550023317337,1656.3037526806195,1839.3783373236656,2031.1062536935012,2184.904170344273
2019-03-01,65.25114315577916,194.0562860216413,347.17028635569983,484.40257234573363,621.5248579297747,749.0377148764474,859.8348584856305,1025.1765725544522,1179.7085728917802,1329.6068586213248,1438.1180019242422,1600.2074308531626,1760.1217167854309
2019-04-01,86.11074032606902,365.97333327046147,556.4177779798155,796.8085194870278,987.0144456580833,1217.1781498591106,1416.128149986267,1589.2181505627102,1789.7022251199794,1963.7214841842651,2092.713706943724,2294.445558592125,2472.5025958043557
2019-05-01,72.2211766242981,243.84176517935362,381.1908829632927,568.6829427410574,713.0914723312153,828.661472306532,972.8876485964831,1148.193236659555,1326.598530404708,1493.7979417688707,1696.6452946031795,1879.9297068539788,2064.066177438287
2019-06-01,79.39666638550935,228.66592615622062,395.4318521640919,549.6203717479,794.794816299721,962.4581500777492,1202.9966685595336,1386.3192614714305,1608.4503732787239,1820.1711141798232,1989.4459290681061,2186.4707438460105,2336.1088922950958
2019-07-01,86.41250026226044,233.45500047206878,396.08075028657913,506.13050072193147,639.8375016093254,771.9090025007724,905.7415033638478,1008.3587536394596,1181.40625359416,1308.733503741026,1476.2147539556026,1592.047753638029,1762.633253788948
2019-08-01,101.19880905605498,233.2369048027765,397.5497626633871,534.181905298006,663.1942864542916,779.5835728361493,918.3759541000638,1017.366906671297,1157.5997638418562,1247.3121447960536,1360.8628590220496,1499.122144926162,1653.3857171365194
2019-09-01,116.41263211400886,299.44157924150164,432.0834216444116,557.9655272270504,739.1168430039758,851.9918431545559,991.3026333168933,1098.8626330087059,1275.4678967375505,1431.4821074636359,1561.3144762641505,1709.2802654567517,1854.4805290824488
2019-10-01,83.7490906570897,285.14757594195277,531.8199997453978,753.2351509368781,913.7918178890691,1100.6436363639255,1292.0578783931155,1477.5493932059317,1655.2218171321983,1842.1066657557633,2032.402423396255,2279.4324233387456,2467.3566661531277
2019-11-01,81.62794132793651,217.29147055569817,397.10117674575133,523.2908833447625,667.7429423612707,817.7705891553094,1035.0070610607372,1176.0776494881686,1365.847649581292,1594.5994147202548,1771.4988267421722,2021.9361794696135,2269.7361800249887
2019-12-01,77.58133349948459,267.12377822664047,415.734000576867,569.0624447451697,729.9944441848331,885.8715551800198,1049.309778213501,1166.7142234802245,1287.552890417311,1437.3177789476183,1549.8053344514635,1713.8420012685988,1823.859779326121
2020-01-01,59.83135120288746,267.79081055280324,479.42810842797564,634.2459463235494,826.1364870780224,994.5094601850252,1152.72432507051,1270.699190378189,1467.4229751084301,1638.856488917325,1860.1002724621746,2039.466488400021,2198.948651146244
2020-02-01,75.14081104381664,290.6810810179324,421.71405381769745,631.0729735155363,806.5818925097182,998.4740548069412,1190.2740547399262,1329.7194600298599,1485.2110814339405,1701.593513881838,1901.2608110389194,2096.5713518954612,2227.025135678214
2020-03-01,108.69243968405375,288.7287817233946,430.8219525174397,602.2514649833121,810.1629282643155,920.5280499545539,1077.5521957205563,1222.11780551294,1388.7270745853098,1561.9490254419607,1761.0017084115889,1923.0880507754116,2115.264880136746
2020-04-01,86.5141266868228,202.80269816565135,295.084603037153,407.1571425937471,538.5011112273686,666.967301535228,733.8015875892033,867.9944447297898,985.7749212999192,1082.6744451257919,1219.0904771524763,1331.2369853390587,1447.5347635329715
2020-05-01,85.03666684362624,241.30722304185232,483.22833425468866,680.3438899517059,943.2830576366848,1113.5683357616265,1328.2541694740455,1568.097780674696,1800.6266702380444,2063.537225428555,2225.879447615809,2445.5569474995136,2631.590836342838
2020-06-01,92.2383334069025,298.2092861334483,465.7285718804314,618.7519058386484,788.413334222067,983.815000590824,1183.725001443,1382.8702400184814,1579.1142878305345,1814.6969071172532,1974.5885740405038,2151.7811933869407,2371.429526663962
2020-07-01,91.68169860120089,276.9949061375744,398.092076265587,571.541321079686,752.3513210764471,867.3545286565457,1017.4509442482355,1137.9311331757958,1304.3249074108196,1457.5986810180377,1618.7630210552575,1757.8907569219482,1922.163776037828
2020-08-01,86.2531144501733,217.93704898240136,346.39442631455717,461.55721356438806,640.795574411017,795.9954099225216,909.0065580469663,1074.060164428148,1223.1583614271194,1360.5022961272568,1510.7996731429803,1662.3850832845344,1795.3321327537788
2020-09-01,88.47634191047854,275.32707321353075,457.9026838628257,634.4304888248444,869.3512206135727,1127.1153675114235,1364.080001592636,1644.0236602934394,1838.2668303920002,2006.3873176516556,2208.183903118459,2454.9621959110586,2727.30487884254
2020-10-01,96.73787859714392,228.98727263826314,385.31590899554163,550.2607576196843,701.2604544126626,845.0692427122232,1004.1569705262328,1139.7607585011106,1291.443789001667,1475.4242438005679,1628.072729193803,1770.2112139318929,1917.1566687605598
2020-11-01,103.47116641203563,358.4669999718666,504.69266668558123,644.2398337165515,838.49200091362,976.4703338424365,1108.8051670829454,1266.6291669249536,1428.2915004690487,1585.6515004515647,1772.6129999680445,1950.285833204103,2127.2451667749015
2020-12-01,101.32487223392877,235.89179561994015,372.4475654791563,513.054104080567,658.8035913216762,829.8126940115905,992.0075656695244,1128.840899583621,1294.1378230345556,1477.1684639667853,1629.5802586414875,1796.6334636486495,1935.8441046568064
2021-01-01,88.01900011698405,257.96966729164126,472.4406672716141,617.2080010970434,823.2340013980865,998.2113356073697,1178.6006689190865,1349.391503127416,1533.624503326416,1721.1151704589527,1897.331837185224,2102.532337760925,2308.8783381382623
2021-02-01,80.20705883643207,298.6976469731798,528.7535293523003,778.8164711138782,993.4580393351761,1193.7788237917657,1488.6650983212041,1752.2727456466826,1977.928824078803,2153.8996087616565,2371.177452358545,2638.3576483539505,2880.812158131132
2021-03-01,87.82205117054475,250.56602547718927,444.90679486898273,640.7064101543182,780.4985898335775,948.0312826205522,1108.6811545720468,1326.9492321167236,1522.3708987144323,1766.6797455396409,1950.4984633800311,2103.5530789020736,2262.920130637976
2021-04-01,83.07244467205471,228.68211171891954,387.0803342209922,526.5937789625592,729.131778995196,892.8050006786982,1048.7727783785926,1180.9240009175408,1326.8183343728383,1477.0450010591082,1612.6346679290136,1772.034668191274,1899.6920016818576
2021-05-01,93.09849331476917,276.91068538574325,524.7493156537618,731.4313710976953,935.9919190994681,1107.9268511680707,1336.2583580409012,1534.6809608381088,1761.7531530007925,1935.5853449971708,2125.1312354492816,2329.708496407287,2556.1113732089734
2021-06-01,93.49459186865359,279.41979596079614,448.7688775354502,642.6314289886125,812.9922457300887,969.8880624819775,1149.5394910938885,1319.0298996506906,1449.9619404588427,1578.595307792936,1725.6472468570787,1917.6172469757041,1956.5221451034352
2021-07-01,86.14441898257233,283.1087213754654,509.45744212560874,759.5333723273388,964.0356982475104,1197.0881396670675,1395.5048842707345,1608.6132566873418,1798.2433731001477,2015.5003502562988,2227.9886062505634,2261.901048136312,2261.901048136312
2021-08-01,99.169618672087,243.83916068623085,418.87236723827044,591.2949629667152,751.750154038422,955.8335129668694,1101.9154979309053,1281.639238657842,1461.1168723379383,1634.8024452151233,1660.5283994310685,1660.5283994310685,1660.5283994310685
2021-09-01,71.1711365851489,330.66556883400136,601.8535234467549,861.4261367700317,1085.4442055496302,1331.294092297554,1582.3411376381462,1822.808183693073,2120.8252286978745,2196.1168194264174,2196.1168194264174,2196.1168194264174,2196.1168194264174
2021-10-01,99.31513914134767,271.6340280175209,458.03465313381616,664.6143059697416,833.6338198400206,1000.8045838077863,1173.9268751541774,1348.4633336083757,1384.8662504967715,1384.8662504967715,1384.8662504967715,1384.8662504967715,1384.8662504967715
2021-11-01,91.36720809998451,257.30103926689594,452.20201304051784,635.6434416167148,831.9903898610697,1027.2779873036718,1251.0167539800916,1279.8048709677412,1279.8048709677412,1279.8048709677412,1279.8048709677412,1279.8048709677412,1279.8048709677412
2021-12-01,93.36206089366566,291.9742427827057,492.8461820415701,710.111333913627,890.3498798096948,1088.9544860848198,1118.062001373664,1118.062001373664,1118.062001373664,1118.062001373664,1118.062001373664,1118.062001373664,1118.062001373664
2022-01-01,90.83418189612301,282.09313671372155,490.18227324702525,670.8531824502078,862.8336371410977,894.973000822284,894.973000822284,894.973000822284,894.973000822284,894.973000822284,894.973000822284,894.973000822284,894.973000822284
2022-02-01,90.62930451268736,306.13139172222304,536.8900005610093,735.0930444821067,782.1122618405715,782.1122618405715,782.1122618405715,782.1122618405715,782.1122618405715,782.1122618405715,782.1122618405715,782.1122618405715,782.1122618405715
2022-03-01,95.80356289098363,318.6841916102849,528.7689524446419,568.7702099406076,568.7702099406076,568.7702099406076,568.7702099406076,568.7702099406076,568.7702099406076,568.7702099406076,568.7702099406076,568.7702099406076,568.7702099406076
2022-04-01,97.57653549078881,315.94062999688737,363.6346654485999,363.6346654485999,363.6346654485999,363.6346654485999,363.6346654485999,363.6346654485999,363.6346654485999,363.6346654485999,363.6346654485999,363.6346654485999,363.6346654485999
2022-05-01,113.21976048732714,174.37626457616304,174.37626457616304,174.37626457616304,174.37626457616304,174.37626457616304,174.37626457616304,174.37626457616304,174.37626457616304,174.37626457616304,174.37626457616304,174.37626457616304,174.37626457616304
2022-06-01,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692,117.33784595444692
